Date,Open,High,Low,Close
2021/10/8,23.860001,24.096001,23.110001,23.5
2021/10/11,23.26,23.98,23.26,23.530001
2021/10/12,23.549999,23.809999,23.290001,23.690001
2021/10/13,23.83,24.309999,23.790001,24.129999
2021/10/14,24.43,24.709999,24.205,24.35
2021/10/15,24.5,24.52,23.83,24
2021/10/18,24,24.389999,23.92,24.26
2021/10/19,24.5,25.200001,24.360001,24.690001
2021/10/20,24.790001,24.959999,24.17,24.219999
2021/10/21,24.129999,24.93,24.08,24.780001
2021/10/22,24.49,24.85,24.25,24.43
2021/10/25,24.5,25.540001,24.48,25.41
2021/10/26,25.99,26.75,25.25,25.52
2021/10/27,25.639999,25.9,25.02,25.059999
2021/10/28,25.299999,25.795,25.120001,25.639999
2021/10/29,25.5,26.120001,25.450001,25.879999
2021/11/1,26.110001,26.645,25.882999,26.559999
2021/11/2,26.559999,26.719999,25.555,25.92
2021/11/3,25.889999,26.235001,25.17,26.120001
2021/11/4,26.26,26.57,25.870001,26.469999
2021/11/5,26.450001,26.629999,25.719999,26
2021/11/8,26.25,27.110001,26.120001,26.75
2021/11/9,25.9,25.98,23.950001,24.25
2021/11/10,23.6,23.639999,22.120001,22.52
2021/11/11,23.040001,23.129999,22.665001,22.99
2021/11/12,23.02,23.225,22.379999,22.83
2021/11/15,23,23.52,22.950001,23.41
2021/11/16,23.290001,23.290001,22.610001,23.129999
2021/11/17,23.049999,23.219,22.4,22.49
2021/11/18,22.5,22.549999,21.341999,21.5
2021/11/19,21.6,21.959999,21.299999,21.41
2021/11/22,21.530001,21.57,20.18,20.65
2021/11/23,20.59,21.049999,20.049999,20.59
2021/11/24,20.35,21.200001,20.059999,21.110001
2021/11/26,20.41,21.09,20.349001,21.030001
2021/11/29,21.190001,21.4,20.559999,21.07
2021/11/30,20.950001,21.25,20.110001,20.65
2021/12/1,20.530001,20.889999,19.290001,19.379999
2021/12/2,19.299999,19.91,19.059999,19.690001
2021/12/3,19.5,19.530001,18.4,18.98
2021/12/6,18.540001,18.969999,18.075001,18.799999
2021/12/7,19.26,19.855,19.07,19.459999
2021/12/8,19.51,19.825001,19.030001,19.82
2021/12/9,19.950001,20.15,19.040001,19.209999
2021/12/10,19.280001,19.58,18.700001,18.940001
2021/12/13,18.799999,19.075001,18.17,18.4
2021/12/14,18,18.858999,17.91,18.639999
2021/12/15,18.370001,18.940001,17.995001,18.860001
2021/12/16,18.959999,19.120001,18.15,18.34
2021/12/17,18.030001,19.1,17.809999,19.059999
2021/12/20,18.59,18.67,17.834999,17.959999
2021/12/21,18.16,18.98,18.1,18.9
2021/12/22,18.65,19.450001,18.65,18.879999
2021/12/23,18.85,19.135,18.719999,18.93
2021/12/27,18.780001,19.25,18.780001,18.940001
2021/12/28,18.889999,19.07,18.440001,18.57
2021/12/29,18.530001,18.6,17.91,18.17
2021/12/30,18.1,18.995001,18.07,18.690001
2021/12/31,18.610001,18.92,18.209999,18.209999
2022/1/3,18.360001,18.569,17.860001,18.530001
2022/1/4,18.610001,18.84,17.790001,18.17
2022/1/5,18.030001,18.568001,16.870001,16.959999
2022/1/6,16.870001,17.18,16.055,16.74
2022/1/7,16.700001,17.33,16.475,16.559999
2022/1/10,16.190001,16.57,15.35,16.5
2022/1/11,16.4,17.25,16.32,16.889999
2022/1/12,17.16,17.459999,16.4,16.719999
2022/1/13,16.799999,16.82,15.94,16.01
2022/1/14,15.94,16.249001,15.62,16.01
2022/1/18,15.45,15.75,14.92,14.97
2022/1/19,14.9,15.25,14.54,14.56
2022/1/20,14.89,15.55,14.57,14.62
2022/1/21,14.25,14.478,13.5,13.53
2022/1/24,12.79,13.41,11.75,13.4
2022/1/25,13.12,13.6,12.83,13.06
2022/1/26,13.6,13.82,12.68,12.75
2022/1/27,13.01,13.06,12.2,12.28
2022/1/28,12.3,12.88,11.89,12.71
2022/1/31,12.77,13.74,12.76,13.71
2022/2/1,14.23,14.37,13.56,14.2
2022/2/2,14.09,14.2,13.19,13.32
2022/2/3,12.95,13.32,12.42,12.45
2022/2/4,12.47,13.09,12.265,12.94
2022/2/7,13.025,13.6,12.94,12.98
2022/2/8,12.75,13.189,12.62,13.15
2022/2/9,13.29,13.89,13.26,13.87
2022/2/10,13.5,14.165,13.37,13.56
2022/2/11,13.45,13.92,12.97,13.13
2022/2/14,13.1,13.795,12.98,13.26
2022/2/15,13.52,14.185,13.41,14.17
2022/2/16,13.91,14.26,13.66,13.97
2022/2/17,12.39,12.7,11.7,11.77
2022/2/18,11.92,12.01,10.57,11.02
2022/2/22,10.7,11.185,10.3,10.48
2022/2/23,10.83,11.26,10.4,10.43
2022/2/24,9.75,11.87,9.74,11.83
2022/2/25,11.59,11.89,11,11.47
2022/2/28,11.96,12.18,11.39,11.85
2022/3/1,11.99,12.52,11.71,12.18
2022/3/2,12.21,12.21,11.42,12.06
2022/3/3,12.01,12.055,11.235,11.34
2022/3/4,11.7,11.77,10.74,10.96
2022/3/7,11.43,11.75,11.1,11.11
2022/3/8,10.93,11.39,10.719,11.04
2022/3/9,11.41,12.02,11.27,11.65
2022/3/10,11.38,11.97,11.32,11.87
2022/3/11,11.86,12.005,11.37,11.39
2022/3/14,11.17,11.41,10.41,10.5
2022/3/15,10.47,10.85,10.27,10.77
2022/3/16,10.95,11.82,10.94,11.79
2022/3/17,11.72,12.37,11.66,12.32
2022/3/18,12.28,13.02,12.215,12.82
2022/3/21,12.72,13.05,12.42,12.59
2022/3/22,12.52,13.48,12.52,13.27
2022/3/23,13.16,13.55,13.02,13.18
2022/3/24,13.25,13.42,12.83,13.39
2022/3/25,13.36,13.395,12.71,12.97
2022/3/28,13.01,13.44,12.855,13.42
2022/3/29,13.65,14.28,13.35,14.2
2022/3/30,14.04,14.36,13.74,13.88
2022/3/31,13.9,14.06,13.63,13.73
2022/4/1,13.77,14.065,13.5,13.83
2022/4/4,14.03,14.66,14.02,14.63
2022/4/5,14.61,14.86,13.795,13.89
2022/4/6,13.52,13.54,12.85,13
2022/4/7,12.95,13.34,12.48,12.84
2022/4/8,12.7,13.05,12.57,12.7
2022/4/11,12.45,12.82,12.13,12.66
2022/4/12,12.88,13.2,12.425,12.46
2022/4/13,12.35,12.94,12.231,12.9
2022/4/14,12.92,12.92,12.41,12.42
2022/4/18,12.35,12.415,11.88,12.15
2022/4/19,12.08,13.02,12.07,12.91
2022/4/20,13.08,13.17,12.74,12.79
2022/4/21,13.02,13.33,12.225,12.33
2022/4/22,12.33,12.73,11.86,11.96
2022/4/25,11.83,12.16,11.68,12.11
2022/4/26,11.94,12.05,11.1,11.12
2022/4/27,11.01,11.195,10.53,10.56
2022/4/28,10.69,11.045,10.37,10.95
2022/4/29,10.9,11.23,10.36,10.4
2022/5/2,10.38,10.755,10.18,10.74
2022/5/3,10.69,10.98,10.44,10.55
2022/5/4,10.53,11.01,10.08,10.98
2022/5/5,10.8,10.8,9.98,10.12
2022/5/6,10,10.05,9.42,9.48
2022/5/9,7.78,7.85,7.32,7.46
2022/5/10,7.56,7.703,6.93,7.29
2022/5/11,7.28,7.54,6.66,6.71
2022/5/12,6.55,7.38,6.44,7.34
2022/5/13,7.52,8.35,7.52,8.34
2022/5/16,8.17,8.43,8.01,8.04
2022/5/17,8.1,8.46,8.01,8.36
2022/5/18,8.21,8.43,7.92,8.01
